20030104 18:00,0
20030104 19:00,0.01
20030104 20:00,0.1
20030104 21:00,0.02
20030104 22:00,0.01
20030104 23:00,0
20030105 13:00,0.01
20030105 14:00,0.02
20030105 15:00,0.02
20030105 16:00,0.01
20030105 17:00,0
20030105 18:00,0
20030105 19:00,0
20030105 20:00,0
20030105 21:00,0.01
20030105 22:00,0
20030105 23:00,0.01
20030106 00:00,0
20030106 01:00,0.1
20030106 06:00,0.2
20030106 10:00,0
20030109 14:00,0
20030109 18:00,0
20030109 19:00,0
20030109 20:00,0
20030109 21:00,0
20030109 22:00,0
20030110 10:00,0
20030110 11:00,0
20030110 12:00,0
20030110 13:00,0
20030110 14:00,0
20030110 15:00,0
20030110 16:00,0
20030110 17:00,0
20030110 18:00,0
20030110 19:00,0
20030113 20:00,0
20030113 21:00,0
20030113 22:00,0
20030113 23:00,0
20030114 01:00,0
20030114 02:00,0
20030114 03:00,0
20030114 04:00,0.01
20030114 05:00,0.01
20030114 06:00,0.01
20030114 07:00,0
20030118 08:00,0
20030118 09:00,0
20030118 10:00,0.01
20030118 11:00,0
20030118 12:00,0
20030118 15:00,0
20030118 16:00,0.01
20030118 17:00,0.01
20030119 12:00,0
20030119 16:00,0
20030119 17:00,0
20030124 20:00,0
20030125 19:00,0
20030125 20:00,0
20030125 21:00,0.01
20030125 22:00,0.02
20030125 23:00,0
20030126 04:00,0
20030126 05:00,0.01
20030126 06:00,0.01
20030126 07:00,0
20030128 09:00,0
20030128 10:00,0.01
20030128 11:00,0
20030128 15:00,0.01
20030128 16:00,0.06
20030128 17:00,0.04
20030128 18:00,0.03
20030128 19:00,0.02
20030128 20:00,0
20030128 22:00,0
20030128 23:00,0
20030129 01:00,0
20030129 02:00,0
20030129 14:00,0
20030131 06:00,0.03
20030131 07:00,0.02
20030131 08:00,0.02
20030131 09:00,0.02
20030131 10:00,0.01
20030131 11:00,0.01
20030131 12:00,0.01
20030131 13:00,0.02
20030131 14:00,0.01
20030131 15:00,0
20030131 16:00,0
20030131 17:00,0
20030201 00:00,0
20030202 00:00,0
20030202 01:00,0.02
20030202 02:00,0.01
20030203 11:00,0
20030203 12:00,0
20030203 14:00,0
20030203 15:00,0.01
20030203 16:00,0.02
20030203 17:00,0.1
20030203 18:00,0
20030203 19:00,0
20030203 20:00,0
20030203 21:00,0
20030203 22:00,0
20030203 23:00,0
20030204 00:00,0
20030204 02:00,0
20030204 03:00,0
20030204 04:00,0
20030204 06:00,0
20030204 07:00,0
20030204 09:00,0
20030204 10:00,0
20030204 11:00,0
20030204 12:00,0
20030204 13:00,0
20030204 14:00,0
20030204 15:00,0
20030207 14:00,0
20030208 12:00,0
20030208 13:00,0
20030208 14:00,0
20030208 15:00,0
20030208 16:00,0
20030210 04:00,0.1
20030210 07:00,0
20030210 08:00,0
20030210 11:00,0
20030210 12:00,0
20030210 13:00,0
20030210 14:00,0
20030211 11:00,0
20030211 12:00,0
20030211 13:00,0
20030211 14:00,0
20030211 17:00,0
20030211 18:00,0
20030211 19:00,0
20030211 20:00,0
20030211 21:00,0
20030211 22:00,0
20030214 17:00,0
20030214 18:00,0
20030214 19:00,0
20030214 20:00,0.1
20030214 21:00,0
20030214 22:00,0.1
20030214 23:00,0.1
20030215 00:00,0.1
20030215 02:00,0.1
20030215 06:00,0
20030215 07:00,0
20030215 09:00,0.1
20030217 18:00,0
20030217 19:00,0
20030222 11:00,0
20030222 13:00,0
20030222 14:00,0
20030222 15:00,0
20030222 16:00,0
20030222 17:00,0
20030222 18:00,0
20030222 19:00,0
20030222 20:00,0
20030222 21:00,0
20030222 22:00,0
20030224 01:00,0
20030224 02:00,0.01
20030224 03:00,0.01
20030224 04:00,0
20030224 05:00,0.01
20030224 06:00,0
20030224 07:00,0
20030224 11:00,0.1
20030224 12:00,0
20030224 13:00,0
20030224 14:00,0
20030224 15:00,0
20030224 16:00,0
20030224 17:00,0
20030224 18:00,0
20030301 01:00,0
20030301 23:00,0
20030302 00:00,0
20030302 01:00,0
20030302 02:00,0
20030302 07:00,0
20030302 08:00,0
20030302 09:00,0
20030302 10:00,0
20030302 11:00,0
20030302 12:00,0
20030302 13:00,0
20030302 14:00,0
20030302 15:00,0
20030302 16:00,0
20030303 13:00,0
20030303 14:00,0
20030303 15:00,0
20030303 16:00,0
20030303 17:00,0.1
20030303 18:00,0.1
20030303 19:00,0.01
20030303 20:00,0
20030303 21:00,0.01
20030303 22:00,0
20030303 23:00,0
20030304 00:00,0
20030304 01:00,0
20030304 14:00,0
20030304 15:00,0
20030304 16:00,0
20030304 17:00,0.01
20030304 18:00,0.1
20030304 19:00,0.1
20030304 20:00,0.1
20030304 21:00,0.1
20030304 22:00,0.08
20030304 23:00,0.08
20030305 00:00,0.06
20030305 01:00,0.02
20030305 02:00,0.1
20030305 03:00,0.1
20030305 04:00,0
20030305 05:00,0
20030305 06:00,0
20030305 07:00,0
20030305 08:00,0
20030305 09:00,0
20030305 10:00,0
20030305 11:00,0
20030305 12:00,0
20030305 13:00,0
20030305 14:00,0
20030305 15:00,0
20030305 16:00,0
20030306 01:00,0.01
